id,json
264,"[1, 1, 1, 1, 1]"
265,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
266,"[40, 20, 90, 10]"
267,[-5]
268,"[2, -0]"
269,"[2, -5, -5]"
270,"[1, 1, 1, 1, 1]"
271,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
272,"[40, 20, 90, 10]"
273,[-5]
274,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
275,"[40, 20, 90, 10]"
276,[-5]
277,"[2, -0]"
278,"[2, -5, -5]"
279,"[1, 1, 1, 1, 1]"
280,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
281,"[40, 20, 90, 10]"
282,[-5]
283,"[2, -0]"
284,"[2, -5, -5]"
285,"[1, 1, 1, 1, 1]"
286,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
287,"[40, 20, 90, 10]"
288,[-5]
289,"[2, -0]"
290,"[2, -5, -5]"
291,"[1, 1, 1, 1, 1]"
292,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
293,"[40, 20, 90, 10]"
294,[-5]
295,"[2, -0]"
296,"[2, -5, -5]"
297,"[1, 1, 1, 1, 1]"
298,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
299,"[40, 20, 90, 10]"
300,[-5]
301,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
302,"[40, 20, 90, 10]"
303,[-5]
304,"[2, -0]"
305,"[2, -5, -5]"
306,"[1, 1, 1, 1, 1]"
307,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
308,"[40, 20, 90, 10]"
309,[-5]
310,"[2, -0]"
311,"[2, -5, -5]"
312,"[1, 1, 1, 1, 1]"
313,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
314,"[40, 20, 90, 10]"
315,[-5]
316,"[2, -0]"
317,"[2, -5, -5]"
318,"[1, 1, 1, 1, 1]"
319,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
320,"[40, 20, 90, 10]"
321,[-5]
322,"[2, -0]"
323,"[2, -5, -5]"
324,"[1, 1, 1, 1, 1]"
325,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
326,"[40, 20, 90, 10]"
327,[-5]
328,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
329,"[40, 20, 90, 10]"
330,[-5]
331,"[2, -0]"
332,"[2, -5, -5]"
333,"[1, 1, 1, 1, 1]"
334,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
335,"[40, 20, 90, 10]"
336,[-5]
337,"[2, -0]"
338,"[2, -5, -5]"
339,"[1, 1, 1, 1, 1]"
340,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
341,"[40, 20, 90, 10]"
342,[-5]
343,"[2, -0]"
344,"[2, -5, -5]"
345,"[1, 1, 1, 1, 1]"
346,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
347,"[40, 20, 90, 10]"
348,[-5]
349,"[2, -0]"
350,"[2, -5, -5]"
351,"[1, 1, 1, 1, 1]"
352,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
353,"[40, 20, 90, 10]"
354,[-5]
355,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
356,"[40, 20, 90, 10]"
357,[-5]
358,"[2, -0]"
359,"[2, -5, -5]"
360,"[1, 1, 1, 1, 1]"
361,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
362,"[40, 20, 90, 10]"
363,[-5]
364,"[2, -0]"
365,"[2, -5, -5]"
366,"[1, 1, 1, 1, 1]"
367,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
368,"[40, 20, 90, 10]"
369,[-5]
370,"[2, -0]"
371,"[2, -5, -5]"
372,"[1, 1, 1, 1, 1]"
373,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
374,"[40, 20, 90, 10]"
375,[-5]
376,"[2, -0]"
377,"[2, -5, -5]"
378,"[1, 1, 1, 1, 1]"
379,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
380,"[40, 20, 90, 10]"
381,[-5]
382,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
383,"[40, 20, 90, 10]"
384,[-5]
385,"[2, -0]"
386,"[2, -5, -5]"
387,"[1, 1, 1, 1, 1]"
388,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
389,"[40, 20, 90, 10]"
390,[-5]
391,"[2, -0]"
392,"[2, -5, -5]"
393,"[1, 1, 1, 1, 1]"
394,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
395,"[40, 20, 90, 10]"
396,[-5]
397,"[2, -0]"
398,"[2, -5, -5]"
399,"[1, 1, 1, 1, 1]"
400,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
401,"[40, 20, 90, 10]"
402,[-5]
403,"[2, -0]"
404,"[2, -5, -5]"
405,"[1, 1, 1, 1, 1]"
406,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
407,"[40, 20, 90, 10]"
408,[-5]
409,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
410,"[40, 20, 90, 10]"
411,[-5]
412,"[2, -0]"
413,"[2, -5, -5]"
414,"[1, 1, 1, 1, 1]"
415,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
416,"[40, 20, 90, 10]"
417,[-5]
418,"[2, -0]"
419,"[2, -5, -5]"
420,"[1, 1, 1, 1, 1]"
421,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
422,"[40, 20, 90, 10]"
423,[-5]
424,"[2, -0]"
425,"[2, -5, -5]"
426,"[1, 1, 1, 1, 1]"
427,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
428,"[40, 20, 90, 10]"
429,[-5]
430,"[2, -0]"
431,"[2, -5, -5]"
432,"[1, 1, 1, 1, 1]"
433,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
434,"[40, 20, 90, 10]"
435,[-5]
436,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
437,"[40, 20, 90, 10]"
438,[-5]
439,"[2, -0]"
440,"[2, -5, -5]"
441,"[1, 1, 1, 1, 1]"
442,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
443,"[40, 20, 90, 10]"
444,[-5]
445,"[2, -0]"
446,"[2, -5, -5]"
447,"[1, 1, 1, 1, 1]"
448,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
449,"[40, 20, 90, 10]"
450,[-5]
451,"[2, -0]"
452,"[2, -5, -5]"
453,"[1, 1, 1, 1, 1]"
454,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
455,"[40, 20, 90, 10]"
456,[-5]
457,"[2, -0]"
458,"[2, -5, -5]"
459,"[1, 1, 1, 1, 1]"
460,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
461,"[40, 20, 90, 10]"
462,[-5]
463,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
464,"[40, 20, 90, 10]"
465,[-5]
466,"[2, -0]"
467,"[2, -5, -5]"
468,"[1, 1, 1, 1, 1]"
469,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
470,"[40, 20, 90, 10]"
471,[-5]
472,"[2, -0]"
473,"[2, -5, -5]"
474,"[1, 1, 1, 1, 1]"
475,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
476,"[40, 20, 90, 10]"
477,[-5]
478,"[2, -0]"
479,"[2, -5, -5]"
480,"[1, 1, 1, 1, 1]"
481,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
482,"[40, 20, 90, 10]"
483,[-5]
484,"[2, -0]"
485,"[2, -5, -5]"
486,"[1, 1, 1, 1, 1]"
487,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
488,"[40, 20, 90, 10]"
489,[-5]
490,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
491,"[40, 20, 90, 10]"
492,[-5]
493,"[2, -0]"
494,"[2, -5, -5]"
495,"[1, 1, 1, 1, 1]"
496,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
497,"[40, 20, 90, 10]"
498,[-5]
499,"[2, -0]"
500,"[2, -5, -5]"
501,"[1, 1, 1, 1, 1]"
502,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
503,"[40, 20, 90, 10]"
504,[-5]
505,"[2, -0]"
506,"[2, -5, -5]"
507,"[1, 1, 1, 1, 1]"
508,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
509,"[40, 20, 90, 10]"
510,[-5]
511,"[2, -0]"
512,"[2, -5, -5]"
513,"[1, 1, 1, 1, 1]"
514,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
515,"[40, 20, 90, 10]"
516,[-5]
517,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
518,"[40, 20, 90, 10]"
519,[-5]
520,"[2, -0]"
521,"[2, -5, -5]"
522,"[1, 1, 1, 1, 1]"
523,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
524,"[40, 20, 90, 10]"
525,[-5]
526,"[2, -0]"
527,"[2, -5, -5]"
528,"[1, 1, 1, 1, 1]"
529,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
530,"[40, 20, 90, 10]"
531,[-5]
532,"[2, -0]"
533,"[2, -5, -5]"
534,"[1, 1, 1, 1, 1]"
535,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
536,"[40, 20, 90, 10]"
537,[-5]
538,"[2, -0]"
539,"[2, -5, -5]"
540,"[1, 1, 1, 1, 1]"
541,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
542,"[40, 20, 90, 10]"
543,[-5]
544,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
545,"[40, 20, 90, 10]"
546,[-5]
547,"[2, -0]"
548,"[2, -5, -5]"
549,"[1, 1, 1, 1, 1]"
550,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
551,"[40, 20, 90, 10]"
552,[-5]
553,"[2, -0]"
554,"[2, -5, -5]"
555,"[1, 1, 1, 1, 1]"
556,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
557,"[40, 20, 90, 10]"
558,[-5]
559,"[2, -0]"
560,"[2, -5, -5]"
561,"[1, 1, 1, 1, 1]"
562,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
563,"[40, 20, 90, 10]"
564,[-5]
565,"[2, -0]"
566,"[2, -5, -5]"
567,"[1, 1, 1, 1, 1]"
568,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
569,"[40, 20, 90, 10]"
570,[-5]
571,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
572,"[40, 20, 90, 10]"
573,[-5]
574,"[2, -0]"
575,"[2, -5, -5]"
576,"[1, 1, 1, 1, 1]"
577,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
578,"[40, 20, 90, 10]"
579,[-5]
580,"[2, -0]"
581,"[2, -5, -5]"
582,"[1, 1, 1, 1, 1]"
583,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
584,"[40, 20, 90, 10]"
585,[-5]
586,"[2, -0]"
587,"[2, -5, -5]"
588,"[1, 1, 1, 1, 1]"
589,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
590,"[40, 20, 90, 10]"
591,[-5]
592,"[2, -0]"
593,"[2, -5, -5]"
594,"[1, 1, 1, 1, 1]"
595,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
596,"[40, 20, 90, 10]"
597,[-5]
598,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
599,"[40, 20, 90, 10]"
600,[-5]
601,"[2, -0]"
602,"[2, -5, -5]"
603,"[1, 1, 1, 1, 1]"
604,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
605,"[40, 20, 90, 10]"
606,[-5]
607,"[2, -0]"
608,"[2, -5, -5]"
609,"[1, 1, 1, 1, 1]"
610,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
611,"[40, 20, 90, 10]"
612,[-5]
613,"[2, -0]"
614,"[2, -5, -5]"
615,"[1, 1, 1, 1, 1]"
616,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
617,"[40, 20, 90, 10]"
618,[-5]
619,"[2, -0]"
620,"[2, -5, -5]"
621,"[1, 1, 1, 1, 1]"
622,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
623,"[40, 20, 90, 10]"
624,[-5]
625,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
626,"[40, 20, 90, 10]"
627,[-5]
628,"[2, -0]"
629,"[2, -5, -5]"
630,"[1, 1, 1, 1, 1]"
631,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
632,"[40, 20, 90, 10]"
633,[-5]
634,"[2, -0]"
635,"[2, -5, -5]"
636,"[1, 1, 1, 1, 1]"
637,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
638,"[40, 20, 90, 10]"
639,[-5]
640,"[2, -0]"
641,"[2, -5, -5]"
642,"[1, 1, 1, 1, 1]"
643,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
644,"[40, 20, 90, 10]"
645,[-5]
646,"[2, -0]"
647,"[2, -5, -5]"
648,"[1, 1, 1, 1, 1]"
649,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
650,"[40, 20, 90, 10]"
651,[-5]
652,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
653,"[40, 20, 90, 10]"
654,[-5]
655,"[2, -0]"
656,"[2, -5, -5]"
657,"[1, 1, 1, 1, 1]"
658,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
659,"[40, 20, 90, 10]"
660,[-5]
661,"[2, -0]"
662,"[2, -5, -5]"
663,"[1, 1, 1, 1, 1]"
664,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
665,"[40, 20, 90, 10]"
666,[-5]
667,"[2, -0]"
668,"[2, -5, -5]"
669,"[1, 1, 1, 1, 1]"
670,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
671,"[40, 20, 90, 10]"
672,[-5]
673,"[2, -0]"
674,"[2, -5, -5]"
675,"[1, 1, 1, 1, 1]"
676,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
677,"[40, 20, 90, 10]"
678,[-5]
679,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
680,"[40, 20, 90, 10]"
681,[-5]
682,"[2, -0]"
683,"[2, -5, -5]"
684,"[1, 1, 1, 1, 1]"
685,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
686,"[40, 20, 90, 10]"
687,[-5]
688,"[2, -0]"
689,"[2, -5, -5]"
690,"[1, 1, 1, 1, 1]"
691,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
692,"[40, 20, 90, 10]"
693,[-5]
694,"[2, -0]"
695,"[2, -5, -5]"
696,"[1, 1, 1, 1, 1]"
697,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
698,"[40, 20, 90, 10]"
699,[-5]
700,"[2, -0]"
701,"[2, -5, -5]"
702,"[1, 1, 1, 1, 1]"
703,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
704,"[40, 20, 90, 10]"
705,[-5]
706,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
707,"[40, 20, 90, 10]"
708,[-5]
709,"[2, -0]"
710,"[2, -5, -5]"
711,"[1, 1, 1, 1, 1]"
712,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
713,"[40, 20, 90, 10]"
714,[-5]
715,"[2, -0]"
716,"[2, -5, -5]"
717,"[1, 1, 1, 1, 1]"
718,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
719,"[40, 20, 90, 10]"
720,[-5]
721,"[2, -0]"
722,"[2, -5, -5]"
723,"[1, 1, 1, 1, 1]"
724,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
725,"[40, 20, 90, 10]"
726,[-5]
727,"[2, -0]"
728,"[2, -5, -5]"
729,"[1, 1, 1, 1, 1]"
730,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
731,"[40, 20, 90, 10]"
732,[-5]
733,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
734,"[40, 20, 90, 10]"
735,[-5]
736,"[2, -0]"
737,"[2, -5, -5]"
738,"[1, 1, 1, 1, 1]"
739,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
740,"[40, 20, 90, 10]"
741,[-5]
742,"[2, -0]"
743,"[2, -5, -5]"
744,"[1, 1, 1, 1, 1]"
745,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
746,"[40, 20, 90, 10]"
747,[-5]
748,"[2, -0]"
749,"[2, -5, -5]"
750,"[1, 1, 1, 1, 1]"
751,"[1, 2, 3, 4, 5, 6, 7, 8, 9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25]"
752,"[40, 20, 90, 10]"
753,[-5]
754,"[2, -0]"
755,"[2, -5, -5]"
756,"[1, 1, 1, 1, 1]"
757,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
758,"[40, 20, 90, 10]"
759,[-5]
760,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
761,"[40, 20, 90, 10]"
762,[-5]
763,"[2, -0]"
764,"[2, -5, -5]"
765,"[1, 1, 1, 1, 1]"
766,"[1, 2, 3, 4, 5, 6, 7, 8, 9]"
767,"[40, 20, 90, 10]"
768,[-5]
769,"[2, -0]"
770,"[2, -5, -5]"
771,"[1, 1, 1, 1, 1]"
